 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [19/Sep/2018 20:32:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 20:32:45] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:45] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 20:32:46] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 17:51:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [20/Sep/2018 19:42:12] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:12] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:12] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:12] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:13] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:13] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:13] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:13] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Sep/2018 19:42:14] "GET /favicon.ico HTTP/1.1" 404 -
