 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Oct/2018 12:22:32] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:22:32] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:22:32] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:22:32] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:22:32] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:28:49] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:28:49] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:28:49] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:28:49] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:28:50] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:50] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:50] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:50] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:28:53] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [15/Oct/2018 12:28:54] "GET /t HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:28:55] "GET /favicon.ico HTTP/1.1" 404 -
[2018-10-15 12:31:18,325] ERROR in app: Exception on /t [GET]
Traceback (most recent call last):
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 2292, in wsgi_app
    response = self.full_dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1815, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1718, in handle_user_exception
    reraise(exc_type, exc_value, tb)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1813, in full_dispatch_request
    rv = self.dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1799, in dispatch_request
    return self.view_functions[rule.endpoint](**req.view_args)
  File "st-lite.py", line 41, in check
    stopId = session['userSt_id']
  File "/usr/lib/python2.7/site-packages/werkzeug/local.py", line 377, in <lambda>
    __getitem__ = lambda x, i: x._get_current_object()[i]
  File "/usr/lib64/python2.7/site-packages/flask/sessions.py", line 83, in __getitem__
    return super(SecureCookieSession, self).__getitem__(key)
KeyError: 'userSt_id'
127.0.0.1 - - [15/Oct/2018 12:31:18] "GET /t HTTP/1.1" 500 -
127.0.0.1 - - [15/Oct/2018 12:31:18] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:31:18] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:31:18] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:31:18] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:31:20] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:22] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Oct/2018 12:31:23] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [15/Oct/2018 12:31:24] "GET /t HTTP/1.1" 200 -
[2018-10-16 12:13:18,373] ERROR in app: Exception on /t [GET]
Traceback (most recent call last):
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 2292, in wsgi_app
    response = self.full_dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1815, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1718, in handle_user_exception
    reraise(exc_type, exc_value, tb)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1813, in full_dispatch_request
    rv = self.dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1799, in dispatch_request
    return self.view_functions[rule.endpoint](**req.view_args)
  File "st-lite.py", line 41, in check
    stopId = session['userSt_id']
  File "/usr/lib/python2.7/site-packages/werkzeug/local.py", line 377, in <lambda>
    __getitem__ = lambda x, i: x._get_current_object()[i]
  File "/usr/lib64/python2.7/site-packages/flask/sessions.py", line 83, in __getitem__
    return super(SecureCookieSession, self).__getitem__(key)
KeyError: 'userSt_id'
127.0.0.1 - - [16/Oct/2018 12:13:18] "GET /t HTTP/1.1" 500 -
127.0.0.1 - - [16/Oct/2018 12:13:18] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2018 12:13:18] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2018 12:13:18] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2018 12:13:18] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2018 12:13:20] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2018 12:13:22] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:22] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:22] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:22] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:22] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:23] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:23] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:23] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:23] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2018 12:13:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2018 12:13:28] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 09:25:35] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 09:25:35] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 09:25:35] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 09:25:36] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 09:25:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 09:25:38] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:39] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:39] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:39] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:39] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:39] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:39] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:40] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 09:25:40] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 11:05:48] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:48] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:48] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:48] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:48] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:48] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:48] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:49] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:49] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 11:05:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:25:21] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:21] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:21] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:21] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:22] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:22] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:22] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:22] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:22] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:25:22] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:30:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:33:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:33:12] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:33:13] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:33:13] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:33:14] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:33:14] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:14] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:14] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:15] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:16] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [17/Oct/2018 12:33:16] "GET /t HTTP/1.1" 200 -
127.0.0.1 - - [17/Oct/2018 12:33:16] "GET /favicon.ico HTTP/1.1" 404 -
[2018-10-18 12:26:15,407] ERROR in app: Exception on /t [GET]
Traceback (most recent call last):
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 2292, in wsgi_app
    response = self.full_dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1815, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1718, in handle_user_exception
    reraise(exc_type, exc_value, tb)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1813, in full_dispatch_request
    rv = self.dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1799, in dispatch_request
    return self.view_functions[rule.endpoint](**req.view_args)
  File "st-lite.py", line 41, in check
    stopId = session['userSt_id']
  File "/usr/lib/python2.7/site-packages/werkzeug/local.py", line 377, in <lambda>
    __getitem__ = lambda x, i: x._get_current_object()[i]
  File "/usr/lib64/python2.7/site-packages/flask/sessions.py", line 83, in __getitem__
    return super(SecureCookieSession, self).__getitem__(key)
KeyError: 'userSt_id'
127.0.0.1 - - [18/Oct/2018 12:26:15] "GET /t HTTP/1.1" 500 -
127.0.0.1 - - [18/Oct/2018 12:26:15] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Oct/2018 12:26:15] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Oct/2018 12:26:15] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [18/Oct/2018 12:26:15] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Oct/2018 12:26:17] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Oct/2018 12:26:18] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:18] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:18] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:18] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:18] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:19] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:19] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:19] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:19] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:19] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Oct/2018 12:26:19] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [18/Oct/2018 12:26:20] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [18/Oct/2018 12:26:21] "GET /t HTTP/1.1" 200 -
[2018-10-19 00:04:25,009] ERROR in app: Exception on /t [GET]
Traceback (most recent call last):
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 2292, in wsgi_app
    response = self.full_dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1815, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1718, in handle_user_exception
    reraise(exc_type, exc_value, tb)
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1813, in full_dispatch_request
    rv = self.dispatch_request()
  File "/usr/lib64/python2.7/site-packages/flask/app.py", line 1799, in dispatch_request
    return self.view_functions[rule.endpoint](**req.view_args)
  File "st-lite.py", line 41, in check
    stopId = session['userSt_id']
  File "/usr/lib/python2.7/site-packages/werkzeug/local.py", line 377, in <lambda>
    __getitem__ = lambda x, i: x._get_current_object()[i]
  File "/usr/lib64/python2.7/site-packages/flask/sessions.py", line 83, in __getitem__
    return super(SecureCookieSession, self).__getitem__(key)
KeyError: 'userSt_id'
127.0.0.1 - - [19/Oct/2018 00:04:25] "GET /t HTTP/1.1" 500 -
127.0.0.1 - - [19/Oct/2018 00:04:25] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 00:04:25] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 00:04:25] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 00:04:25] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 00:04:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 00:04:29] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:46] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 10:46:47] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:47] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:47] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:47] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:47] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:47] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:47] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:48] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:48] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 10:46:48] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 11:48:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:15] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 12:23:15] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:15] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:15] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:16] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:16] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:16] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:16] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:16] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:23:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:35:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Oct/2018 12:35:33] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:35:33] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:35:33] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Oct/2018 12:35:33] "GET /apple-touch-icon.png HTTP/1.1" 404 -
